La Liberté,1213
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest],1060
Le Temps,1028
Journal des débats politiques et littéraires,712
Phare de la Loire : bulletin commercial et maritime de Nantes,590
Le Petit journal,538
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie,537
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]",532
Le Rappel / directeur gérant Albert Barbieux,517
Le Petit Marseillais : journal quotidien [puis journal politique quotidien puis le plus important des journaux de province],514
