La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest]
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
Le Temps
Journal des débats politiques et littéraires
Phare de la Loire : bulletin commercial et maritime de Nantes
"Le Courrier de la Rochelle : journal politique, littéraire et d'annonces, feuille spéciale du commerce et de l'agriculture [puis journal républicain]"
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Le Jockey : journal hebdomadaire et spécial de sport
La Presse
Mémorial de la Loire et de la Haute-Loire
