La Liberté
Le Temps
Journal des débats politiques et littéraires
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Phare de la Loire : bulletin commercial et maritime de Nantes
Le Rappel / directeur gérant Albert Barbieux
"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]"
La Gazette de France
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
