La Presse
"L'Écho d'Oran : journal d'annonces légales, judiciaires, administratives et commerciales de la province d'Oran"
"Revue des deux mondes : recueil de la politique, de l'administration et des moeurs"
Annuaire de la marine et des colonies...
Comptes rendus hebdomadaires des séances de l'Académie des sciences / publiés... par MM. les secrétaires perpétuels
"Annales de la propagation de la foi : recueil périodique des lettres des évêques et des missionnaires des missions des deux mondes, et de tous les documents relatifs aux missions et à l'Association de la propagation de la foi"
Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie
Bulletin annoté des lois et décrets
Revue africaine : journal des travaux de la Société historique algérienne
"Rapports et délibérations / Département de la Lozère, Conseil général"
