La Liberté
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
Le Temps
"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]"
Journal des débats politiques et littéraires
Phare de la Loire : bulletin commercial et maritime de Nantes
Gil Blas / dir. A. Dumont
Le Jockey : journal hebdomadaire et spécial de sport
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
Le Rappel / directeur gérant Albert Barbieux
