La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest]
Journal des débats politiques et littéraires
Le Pays : journal des volontés de la France
La Gazette de France
Phare de la Loire : bulletin commercial et maritime de Nantes
La Presse
Mémorial de la Loire et de la Haute-Loire
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
Le Messager de Paris
L'Opinion nationale : journal politique quotidien / rédacteur en chef Adolphe Guéroult
