date,journal,url,term
1911-01-01,Annales de la Société royale académique de Nantes et du département de la Loire-Inférieure,https://gallica.bnf.fr/ark:/12148/bpt6k207435g,brazza
1875-02-23,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5149564,brazza
1875-04-03,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k514994r,brazza
1875-05-29,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5150481,brazza
1875-09-16,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k541648h,brazza
1875-09-25,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k541657g,brazza
1876-04-25,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k541867f,brazza
1876-05-03,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5418751,brazza
1876-06-20,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k541922g,brazza
1876-11-10,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542063q,brazza
1877-02-11,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542155f,brazza
1877-04-14,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542216r,brazza
1877-10-01,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542384q,brazza
1879-01-19,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542853v,brazza
1879-01-23,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542857c,brazza
1879-01-26,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5428602,brazza
1879-01-27,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542861f,brazza
1879-03-04,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k542897r,brazza
1879-04-21,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5429446,brazza
1879-06-24,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k543007f,brazza
1879-07-26,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5430397,brazza
1879-07-30,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5430439,brazza
1879-08-01,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5430452,brazza
1879-10-04,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5431084,brazza
1880-07-11,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k543385c,brazza
1880-09-03,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5434383,brazza
1881-01-20,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k543575n,brazza
1881-05-08,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k543683j,brazza
1881-12-22,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k543908m,brazza
1882-02-20,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5439679,brazza
1882-06-01,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5440651,brazza
1882-06-18,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544082k,brazza
1882-06-25,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5440897,brazza
1882-06-28,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544092x,brazza
1882-07-08,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5441024,brazza
1882-07-12,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544106n,brazza
1882-09-23,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544178t,brazza
1882-10-02,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544187s,brazza
1882-10-04,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544189j,brazza
1882-10-06,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544191v,brazza
1882-10-07,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5441927,brazza
1882-10-10,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544195c,brazza
1882-10-13,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544198h,brazza
1882-10-14,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544199w,brazza
1882-10-15,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544200p,brazza
1882-10-19,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442046,brazza
1882-10-21,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544206z,brazza
1882-10-22,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544207b,brazza
1882-10-24,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442093,brazza
1882-10-25,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442101,brazza
1882-10-26,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544211d,brazza
1882-10-31,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442169,brazza
1882-11-01,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544217p,brazza
1882-11-02,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442182,brazza
1882-11-03,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544219f,brazza
1882-11-05,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544221r,brazza
1882-11-06,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442224,brazza
1882-11-09,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442258,brazza
1882-11-10,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544226n,brazza
1882-11-11,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442271,brazza
1882-11-14,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544230q,brazza
1882-11-15,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442313,brazza
1882-11-17,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544233v,brazza
1882-11-18,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442347,brazza
1882-11-19,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544235m,brazza
1882-11-20,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442360,brazza
1882-11-21,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544237c,brazza
1882-11-22,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544238r,brazza
1882-11-23,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442394,brazza
1882-11-24,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k5442402,brazza
1882-11-25,La Presse,https://gallica.bnf.fr/ark:/12148/bpt6k544241f,brazza
