La Liberté
"Cote de la Bourse et de la banque et le Messager de la Bourse réunis : journal financier et politique, paraissant tous les jours de Bourse avant 4 heures"
L'Univers
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
Le Temps
Le Soleil
"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]"
Le Petit journal
La Petite Gironde : journal républicain quotidien
"Le Petit Marseillais : journal quotidien [""puis"" journal politique quotidien ""puis"" le plus important des journaux de province]"
