Le Temps
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest]
Journal des débats politiques et littéraires
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Le Petit journal
Phare de la Loire : bulletin commercial et maritime de Nantes
La Presse
Mémorial de la Loire et de la Haute-Loire
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy"
Le Messager de Paris
