La Liberté
Le Temps
"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]"
Journal des débats politiques et littéraires
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
La République française
L'Evénement
Le Soleil
L'Univers
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
