Le Temps
La Liberté
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Phare de la Loire : bulletin commercial et maritime de Nantes
Journal des débats politiques et littéraires
La République française
L'Evénement
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
Le Soleil
L'Estafette
