Le Temps
Journal des débats politiques et littéraires
La Liberté
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest]
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
Le Rappel / directeur gérant Albert Barbieux
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Le Petit journal
Le Petit Marseillais : journal quotidien [puis journal politique quotidien puis le plus important des journaux de province]
Phare de la Loire : bulletin commercial et maritime de Nantes
