Le Temps
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest]
Journal des débats politiques et littéraires
La Liberté
Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie
L'Univers
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]"
Le Rappel / directeur gérant Albert Barbieux
Le Pays : journal des volontés de la France
Le Petit journal
