[Bulletins de la Société libre d'émulation de Rouen],1837,1854,https://gallica.bnf.fr/ark:/12148/cb34416110v/date,cb34416110v_date
[Cahiers de l'Amitié Henri Bosco],1972,1980,https://gallica.bnf.fr/ark:/12148/cb343817844/date,cb343817844_date
[Cahiers Masques],1986,1986,https://gallica.bnf.fr/ark:/12148/cb34400452z/date,cb34400452z_date
[Chronique hebdomadaire du Recueil Sirey],1930,1949,https://gallica.bnf.fr/ark:/12148/cb34419757w/date,cb34419757w_date
[Compte rendu...] / [Banque de France],1974,1993,https://gallica.bnf.fr/ark:/12148/cb343630968/date,cb343630968_date
"[Comptes rendus hebdomadaires des séances de l'Académie des sciences. Série A, Sciences mathématiques]",1974,1974,https://gallica.bnf.fr/ark:/12148/cb34374637v/date,cb34374637v_date
"[Comptes rendus hebdomadaires des séances de l'Académie des sciences. Série B, Sciences physiques]",1974,1974,https://gallica.bnf.fr/ark:/12148/cb343746386/date,cb343746386_date
[Folklore pyrénéen],1911,1913,https://gallica.bnf.fr/ark:/12148/cb34431185z/date,cb34431185z_date
[Franche-Comté Libération],1944,1946,https://gallica.bnf.fr/ark:/12148/cb34420729p/date,cb34420729p_date
[Journal des conservateurs des hypothèques],1845,1940,https://gallica.bnf.fr/ark:/12148/cb344159951/date,cb344159951_date
[L'Algérie médicale],1927,1962,https://gallica.bnf.fr/ark:/12148/cb345327015/date,cb345327015_date
[L'Echo des missions d'Afrique de la Congrégation du Saint-Esprit et du Saint Coeur de Marie],1884,1885,https://gallica.bnf.fr/ark:/12148/cb34410768c/date,cb34410768c_date
[L'Ecole et la vie],1917,1923,https://gallica.bnf.fr/ark:/12148/cb34445944r/date,cb34445944r_date
[L'Hygiène par l'exemple],1921,1953,https://gallica.bnf.fr/ark:/12148/cb344180044/date,cb344180044_date
[L'Outillage national],1917,1918,https://gallica.bnf.fr/ark:/12148/cb344478590/date,cb344478590_date
[La Barricade],1932,1936,https://gallica.bnf.fr/ark:/12148/cb34387477g/date,cb34387477g_date
[La Basoche],1882,1905,https://gallica.bnf.fr/ark:/12148/cb34440204c/date,cb34440204c_date
[La Renaissance provinciale de France],1906,1908,https://gallica.bnf.fr/ark:/12148/cb34400977p/date,cb34400977p_date
[Le Dentiste de France],1936,1961,https://gallica.bnf.fr/ark:/12148/cb34387926z/date,cb34387926z_date
[Le Père Duchêne],1871,1871,https://gallica.bnf.fr/ark:/12148/cb32835081p/date,cb32835081p_date
[Le Recrutement sacerdotal],1901,1954,https://gallica.bnf.fr/ark:/12148/cb34410971t/date,cb34410971t_date
[Legia],1923,1926,https://gallica.bnf.fr/ark:/12148/cb34458809w/date,cb34458809w_date
[Les Amis des Champs-Elysées],1930,1939,https://gallica.bnf.fr/ark:/12148/cb34400926s/date,cb34400926s_date
[Les Cahiers idéalistes français],1917,1920,https://gallica.bnf.fr/ark:/12148/cb327357280/date,cb327357280_date
[Les Cahiers idéalistes],1921,1928,https://gallica.bnf.fr/ark:/12148/cb32735817m/date,cb32735817m_date
[Les Chemins de fer d'intérêt local et les tramways],1910,1938,https://gallica.bnf.fr/ark:/12148/cb32740772g/date,cb32740772g_date
[Les Flottes de combat en...],1897,1897,https://gallica.bnf.fr/ark:/12148/cb344987846/date,cb344987846_date
[Les Vosges],1938,1950,https://gallica.bnf.fr/ark:/12148/cb344227144/date,cb344227144_date
[Mémoires de l'Académie de médecine],1828,1914,https://gallica.bnf.fr/ark:/12148/cb34428663h/date,cb34428663h_date
"[Mémoires de la Société des sciences naturelles, des lettres et des beaux-arts de Cannes et de l'arrondissement de Grasse]",1869,1879,https://gallica.bnf.fr/ark:/12148/cb344170324/date,cb344170324_date
[Ouvertures],1983,1983,https://gallica.bnf.fr/ark:/12148/cb34391210d/date,cb34391210d_date
[Rapports et délibérations] / Conseil général de Seine-et-Marne,1848,1976,https://gallica.bnf.fr/ark:/12148/cb34434837r/date,cb34434837r_date
[Recueil de mémoires et autres pièces de prose et de vers],1819,1839,https://gallica.bnf.fr/ark:/12148/cb34367386r/date,cb34367386r_date
[Recueil des actes administratifs] / [Département d'Alger],1861,1962,https://gallica.bnf.fr/ark:/12148/cb34423745n/date,cb34423745n_date
[Recueil. Programmes] / Théâtre de la cité internationale,1955,1955,https://gallica.bnf.fr/ark:/12148/cb344421811/date,cb344421811_date
[Résistance],1944,1944,https://gallica.bnf.fr/ark:/12148/cb344482107/date,cb344482107_date
"[Revue bibliographique des ouvrages de droit, de jurisprudence, d'économie politique, de science financière et de sociologie]",1894,1980,https://gallica.bnf.fr/ark:/12148/cb345189201/date,cb345189201_date
"[Revue historique, scientifique et littéraire du département du Tarn]",1877,1922,https://gallica.bnf.fr/ark:/12148/cb344240271/date,cb344240271_date
[Revue textile],1903,1953,https://gallica.bnf.fr/ark:/12148/cb34378447k/date,cb34378447k_date
"[Séance publique annuelle de l'Académie des sciences, agriculture, arts et belles-lettres d'Aix]",1829,1927,https://gallica.bnf.fr/ark:/12148/cb343673900/date,cb343673900_date
[Séance publique de la Société académique d'Aix],1827,1828,https://gallica.bnf.fr/ark:/12148/cb34367382c/date,cb34367382c_date
