journal,date,url
1883-02-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607858c
1883-02-27, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607862f
1883-02-28, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607863t
1883-03-08, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607871d
1883-03-22, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6078858
1883-03-25, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607888d
1883-04-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6078960
1883-04-22, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607916j
1883-05-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6079291
1883-05-16, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6079409
1883-05-18, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6079422
1883-05-21, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6079456
1883-05-30, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6079545
1883-06-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607970b
1883-06-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607974v
1883-07-14, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k607999f
1883-08-08, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608024m
1883-09-24, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6080716
1883-10-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608100q
1883-11-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6081102
1883-11-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608115z
1883-11-13, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608121s
1883-11-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608128f
1883-11-22, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608130r
1883-11-28, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6081361
1883-12-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6081403
1883-12-13, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608151t
1883-12-29, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608167f
1884-02-10, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608210c
1884-02-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6082158
1884-03-14, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608243j
1884-04-01, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608261g
1884-04-10, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608270f
1884-04-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608280s
1884-06-04, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608325x
1884-07-21, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608372h
1884-08-17, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608399v
1884-08-28, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6084100
1884-08-29, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608411c
1884-09-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608415w
1884-09-04, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608417n
1884-09-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608420b
1884-09-18, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6084312
1884-09-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608432f
1884-10-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608445x
1884-10-04, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608447p
1884-10-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608463v
1884-12-13, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608517z
1884-12-16, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608520n
1884-12-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6085245
1885-01-06, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608541q
1885-02-08, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608574w
1885-06-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608693h
1885-07-03, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608719b
1885-07-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608721n
1885-07-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6087310
1885-08-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6087522
1885-08-17, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6087645
1885-09-01, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608779d
1885-11-14, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608853r
1885-11-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608858n
1885-11-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6088591
1885-12-12, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6088811
1886-01-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608919z
1886-01-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608920w
1886-01-21, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6089218
1886-01-22, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608922n
1886-01-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6089231
1886-01-26, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6089265
1886-02-09, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608940k
1886-02-17, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608948m
1886-02-26, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608957k
1886-03-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608978n
1886-03-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k608982q
1886-04-25, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609015x
1886-04-30, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609020c
1886-05-06, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609026n
1886-05-10, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609030q
1886-05-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6090436
1886-07-01, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6090826
1886-07-03, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609084z
1886-07-09, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609090s
1886-07-11, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609092j
1886-07-25, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6091068
1886-08-01, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609113g
1886-08-10, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609122f
1886-08-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609132s
1886-08-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609135x
1886-09-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609150q
1886-09-13, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6091560
1886-10-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609180r
1886-10-13, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k6091861
1886-10-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k609188s
